"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"412","transport",NA,"Minibus","NA","1% (-1%-3%)",NA,-0.00716504029946074,0.0293872625216829,NA,NA,NA
"510","transport",NA,"other","NA","4% (1%-8%)",NA,0.00851347248783382,0.0803754164010551,NA,NA,NA
"67","transport",NA,"truck_tractor","NA","1% (-1%-3%)",NA,-0.00716504029946077,0.029387262521683,NA,NA,NA
"dependent.var18","transport_other",NA,"Horse","NA","100% ",NA,NA,NA,NA,NA,NA
"dependent.var19","difficulties",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var20","difficulties_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var21","item_bring",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var22","item_bring_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var23","members_no_id","na","NA","NA","3.5 (2.82-4)",NA,2.82410437448725,4.17589562551275,NA,NA,NA
"dependent.var24","priority_need",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var25","priority_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"127","intent_two_days",NA,"camp","NA","82% (76%-89%)",NA,0.75556217833927,0.888882266105175,NA,NA,NA
"221","intent_two_days",NA,"dont_know","NA","1% (-1%-3%)",NA,-0.00716504029946073,0.0293872625216829,NA,NA,NA
"313","intent_two_days",NA,"family_friends_dohuk","NA","3% (0%-6%)",NA,0.00203580813954976,0.0646308585271169,NA,NA,NA
"413","intent_two_days",NA,"family_friends_kri","NA","13% (7%-19%)",NA,0.0740643239693724,0.192602342697294,NA,NA,NA
"dependent.var26","intent_two_days_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"128","intent_gov",NA,"dahuk","NA","27% (7%-46%)",NA,0.0722657456581698,0.461067587675163,NA,NA,NA
"222","intent_gov",NA,"erbil","NA","67% (46%-87%)",NA,0.459434588570657,0.873898744762676,NA,NA,NA
"314","intent_gov",NA,"sulaymaniyah","NA","7% (-4%-18%)",NA,-0.0429902417967648,0.176323575130098,NA,NA,NA
"dependent.var27","intent_gov_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var28","intent_district",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var29","intent_town",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"129","reason_intent",NA,"family_host","NA","17% (10%-23%)",NA,0.10168871671786,0.231644616615473,NA,NA,NA
"223","reason_intent",NA,"no_choice","NA","66% (57%-74%)",NA,0.572704776447859,0.738406334663252,NA,NA,NA
"315","reason_intent",NA,"no_options","NA","18% (11%-24%)",NA,0.111117733894825,0.24443782166073,NA,NA,NA
"dependent.var30","reason_intent_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var31","relatives_kri",NA,"yes","NA","100% ",NA,NA,NA,NA,NA,NA
"130","intent_two_weeks",NA,"family_friends_dohuk","NA","9% (4%-15%)",NA,0.0377104356318713,0.148956231034795,NA,NA,NA
"224","intent_two_weeks",NA,"family_friends_kri","NA","28% (19%-37%)",NA,0.194146765684055,0.365853234315945,NA,NA,NA
"316","intent_two_weeks",NA,"no_intention","NA","60% (51%-69%)",NA,0.506326441688191,0.693673558311809,NA,NA,NA
"414","intent_two_weeks",NA,"own_home","NA","3% (0%-6%)",NA,-0.00413871269656705,0.0574720460299004,NA,NA,NA
"dependent.var32","intent_two_weeks_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"131","intent_gov_week",NA,"dahuk","NA","17% (5%-28%)",NA,0.0528352843838753,0.280498048949458,NA,NA,NA
"225","intent_gov_week",NA,"erbil","NA","73% (60%-87%)",NA,0.59826195332219,0.868404713344476,NA,NA,NA
"317","intent_gov_week",NA,"sulaymaniyah","NA","10% (1%-19%)",NA,0.0083675048474488,0.191632495152551,NA,NA,NA
"dependent.var33","intent_gov_week_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"132","intent_district_week",NA,"chamchamal","NA","7% (-1%-14%)",NA,-0.0095238671902379,0.142857200523571,NA,NA,NA
"226","intent_district_week",NA,"dahuk","NA","13% (3%-24%)",NA,0.02950313758621,0.237163529080457,NA,NA,NA
"318","intent_district_week",NA,"erbil","NA","70% (56%-84%)",NA,0.560029051615253,0.839970948384747,NA,NA,NA
"415","intent_district_week",NA,"shaqlawa","NA","3% (-2%-9%)",NA,-0.0214951208983824,0.0881617875650491,NA,NA,NA
"511","intent_district_week",NA,"sulaymaniya","NA","3% (-2%-9%)",NA,-0.0214951208983824,0.0881617875650491,NA,NA,NA
"68","intent_district_week",NA,"sumel","NA","3% (-2%-9%)",NA,-0.0214951208983824,0.0881617875650491,NA,NA,NA
"dependent.var34","intent_town_week",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"133","intent_return",NA,"no","NA","99% (97%-101%)",NA,0.970612737478317,1.00716504029946,NA,NA,NA
"227","intent_return",NA,"yes","NA","1% (-1%-3%)",NA,-0.00716504029946075,0.029387262521683,NA,NA,NA
"dependent.var35","stop_points_loc_district",NA,NA,"NA","NA ",NA,NA,NA,NA,NA,NA
"dependent.var36","stop_points_loc_district.afrin","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var37","stop_points_loc_district.ain_al_arab","na","NA","NA","0.09 (0.01-0)",NA,0.00763951052863597,0.179860489471364,NA,NA,NA
"dependent.var38","stop_points_loc_district.al_bab","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var39","stop_points_loc_district.as_safira","na","NA","NA","0",NA,0,0,NA,NA,NA
